"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"21/05/16","5","11","13","14","37","39","12","32"
"14/05/16","4","10","13","21","33","34","14","30"
"07/05/16","1","3","14","24","31","35","8","17"
"30/04/16","2","20","22","24","27","30","10","26"
"23/04/16","3","10","27","32","34","36","20","26"
"16/04/16","1","3","11","29","36","42","26","33"
"09/04/16","3","6","18","21","23","41","16","30"
"02/04/16","7","11","12","23","29","36","9","33"
"26/03/16","5","9","17","24","32","43","21","31"
"19/03/16","8","10","16","24","28","31","2","4"
"12/03/16","1","3","8","16","28","37","5","30"
"05/03/16","2","11","20","26","39","45","19","33"
"27/02/16","3","5","18","21","22","38","27","45"
"20/02/16","5","17","22","26","30","42","19","36"
"13/02/16","2","8","25","27","28","43","6","32"
"06/02/16","4","26","33","39","40","43","32","41"
"30/01/16","5","20","25","28","29","45","21","30"
"23/01/16","20","24","33","41","44","45","12","29"
"16/01/16","1","3","11","13","22","24","29","30"
"09/01/16","2","18","20","25","30","36","5","11"
"02/01/16","3","10","31","40","44","45","37","38"
"26/12/15","5","9","25","34","35","36","29","42"
"19/12/15","3","6","11","24","33","34","1","4"
"12/12/15","6","7","8","11","31","40","22","30"
"05/12/15","15","18","28","32","40","42","7","14"
"28/11/15","1","9","17","18","24","34","26","36"
"21/11/15","6","9","10","11","35","37","15","31"
"14/11/15","6","10","21","28","37","42","14","39"
"07/11/15","4","6","17","31","38","39","23","37"
"31/10/15","10","14","19","20","27","37","13","29"
"24/10/15","1","15","18","29","37","40","8","30"
"17/10/15","2","7","10","13","23","24","8","21"
"10/10/15","1","5","7","8","15","39","30","34"
"03/10/15","3","6","7","21","22","43","14","39"
"26/09/15","5","12","13","17","22","26","4","44"
"19/09/15","4","5","16","29","32","44","19","37"
"12/09/15","16","17","21","29","38","42","11","27"
"05/09/15","5","13","27","31","37","42","18","30"
"29/08/15","11","18","26","27","37","39","5","30"
"22/08/15","4","13","18","27","30","36","5","32"
"15/08/15","6","12","23","26","28","36","27","43"
"08/08/15","1","13","24","28","29","33","14","20"
"01/08/15","6","10","15","16","17","29","18","33"
"25/07/15","7","8","13","20","23","32","26","34"
"18/07/15","3","11","13","29","38","42","15","19"
"11/07/15","14","23","24","28","41","45","5","43"
"04/07/15","8","15","25","30","31","44","4","14"
"27/06/15","15","17","29","30","32","39","21","41"
"20/06/15","8","10","22","27","39","44","20","25"
"13/06/15","8","20","36","38","43","45","16","29"
"06/06/15","15","29","31","32","33","39","12","22"
"30/05/15","16","20","23","36","38","43","13","19"
"23/05/15","1","2","31","38","39","45","26","34"
"16/05/15","10","15","16","26","30","45","12","21"
"09/05/15","4","13","27","29","31","32","34","36"
"02/05/15","6","15","18","23","35","43","16","44"
"25/04/15","5","7","12","20","29","42","11","30"
"18/04/15","4","14","16","18","26","27","5","10"
"11/04/15","3","7","13","21","24","30","4","27"
"04/04/15","1","24","34","40","44","45","16","20"
"28/03/15","13","16","17","18","25","29","26","27"
"21/03/15","2","11","12","16","24","39","42","43"
"14/03/15","7","9","17","26","42","43","24","29"
"07/03/15","3","6","24","40","41","44","25","26"
"28/02/15","1","11","14","33","37","45","22","41"
"21/02/15","5","10","11","24","39","41","3","18"
"14/02/15","16","22","24","35","37","42","29","36"
"07/02/15","9","19","30","33","41","44","35","36"
"31/01/15","9","15","19","26","33","36","4","45"
"24/01/15","10","12","30","34","42","44","1","32"
"17/01/15","1","10","16","30","33","41","28","32"
"10/01/15","4","19","24","25","27","34","33","41"
"03/01/15","18","21","35","38","39","43","13","27"
"27/12/14","7","16","20","33","39","43","3","41"
"20/12/14","6","8","9","19","21","41","2","34"
"13/12/14","6","11","16","17","21","44","18","40"
"06/12/14","1","5","13","36","38","39","4","23"
"29/11/14","18","28","31","36","41","42","13","27"
"22/11/14","1","5","14","23","31","42","10","44"
"15/11/14","4","9","13","37","42","43","1","23"
"08/11/14","16","19","20","22","27","35","23","24"
"01/11/14","9","15","21","24","30","42","1","2"
"25/10/14","11","12","17","36","38","44","9","31"
"18/10/14","5","7","8","9","27","34","23","31"
"11/10/14","3","11","13","21","42","44","26","32"
"04/10/14","6","20","22","29","32","44","38","41"
"27/09/14","1","6","16","20","25","36","24","33"
"20/09/14","1","12","22","27","38","40","20","32"
"13/09/14","1","5","10","14","29","33","9","22"
"06/09/14","4","10","17","27","34","43","18","26"
"30/08/14","2","14","24","37","40","44","18","33"
"23/08/14","11","29","30","40","41","43","2","4"
